Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
alaria alata,Helminth,canis lupus,Mammal,0,6,NA,20236557;19138449;18251025;16870858;14535350;11520444
alcelaphine herpesvirus 2,Virus,cervus elaphus,Domestic,2,0,22770293;22770295,NA
alistipes onderdonkii,Bacteria,homo sapiens,Human,2,0,326580947;326580965,NA
alistipes shahii,Bacteria,homo sapiens,Human,1,0,326580944,NA
alloiococcus otitis,Bacteria,homo sapiens,Human,2,2,6635430;61808333,1380011;16708401
alphacoronavirus 1,Virus,canis lupus,Mammal,152,45,305660873;94315241;90101883;281486533;281486553;90101903;46452188;281486513;281486567;284180238;305660861;281486579;305660841;305660853;284180218;281486493;90101877;94315247;281486547;305660867;315063857;281486559;46452182;90101897;281486527;281486573;214027097;118202165;90101889;281486487;281486507;284180212;52221409;284180232;90101909;305660847;281486545;281486499;52221244;305660865;214027109;89146512;281486571;281486525;46452180;90101895;118202163;281486485;284180210;281486505;305660845;284180230;315434508;305660879;90101881;215254377;281486531;281486539;281486551;90101912;90101901;284180204;281486479;284180244;46452186;281486519;281486565;418470982;284180216;281486511;284180236;305660859;284180224;281486491;94315245;90101879;284180228;281486549;281486503;305660877;90101887;288551407;281486557;315063855;281486537;281486477;90101899;281486563;284180242;281486517;305660857;90101907;284180222;281486497;73913005;305660871;281486543;281486569;305660851;89146515,180189;1431811;1662051;6298992;7911642;9041410;9782266;10403671;17093189;17275120;19036814;21272607;1850890;1966440;3039227;3820910;6275746;7571432;7646353;10982127;12505636;15019260;15071054;15989282;16032339;16551493;16704791;16825396;17123424;17323558;18031959;18035977;18628596;18667517;19013196;19162098;19647379;19802044;19819086;21107617;18306032;16024100;9530608;6182101;6168221
alternaria alternata,Fungi,homo sapiens,Human,4,20,296687050;296687051;296687053;319429224,285458;2065371;3326127;6863625;7580290;7808973;7898496;8481994;10361267;16194592;16210651;17655196;18684982;18841359;19328916;19334395;19545906;21326971;21504377;989259
alternaria triticina,Fungi,homo sapiens,Human,1,0,296687052,NA
amblyomma americanum,Arthropod,odocoileus virginianus,Mammal,0,46,NA,24029405;23356088;23276749;23181862;20937859;20202418;20077398;19874183;19819631;19769033;18447622;18436670;17848069;17699076;17547234;16459029;16456174;15311471;14733672;12095432;11469190;11268681;10337091;10083757;9794627;9379294;9196173;9151505;9131554;8744707;8627501;8906920;7616529;8583627;8254630;1512881;1512879;1758026;1941933;2250335;2607030;3193564;3119873;3586204;3520030;6530716
amblyomma dubitatum,Arthropod,homo sapiens,Human,1,0,112821928,NA
amblyomma maculatum,Arthropod,odocoileus virginianus,Mammal,0,6,NA,11469190;8906911;1512879;1758026;2250335;3586204
amblyomma tapirellum,Arthropod,homo sapiens,Human,1,0,39653500,NA
amblyomma testudinarium,Arthropod,homo sapiens,Human,1,0,332149386,NA
anaerococcus lactolyticus,Bacteria,homo sapiens,Human,5,0,285200619;285200621;285200623;285200625;285200627,NA
anaerococcus tetradius,Bacteria,homo sapiens,Human,2,1,257480662;285197672,12205068
